id,headline,description,source,journalist,club,published_at,label
1,"Official: Trent Alexander-Arnold signs contract extension","Liverpool FC has officially confirmed that Trent Alexander-Arnold has signed a new long-term deal with the club.","liverpoolfc.com","Official","Liverpool","2026-07-25T10:00:00Z","OFFICIAL"
2,"Official Club Statement: Kylian Mbappe joins Real Madrid","Real Madrid C.F. and Kylian Mbappé have reached an official agreement for the player to join the club for the next five seasons.","realmadrid.com","Official","Real Madrid","2026-07-24T12:00:00Z","OFFICIAL"
3,"Here we go! Agreement reached for Declan Rice to Arsenal","Full agreement in place between Arsenal and West Ham for Declan Rice. Guarantee fee agreed and personal terms 100% accepted.","twitter.com","Fabrizio Romano","Arsenal","2026-07-25T14:30:00Z","AGREEMENT_REACHED"
4,"Liverpool reach total agreement with Benfica for Darwin Nunez","Liverpool have sealed total agreement with Benfica for Darwin Nunez. Contract until 2028 is ready to be signed.","theathletic.com","David Ornstein","Liverpool","2026-07-25T15:00:00Z","AGREEMENT_REACHED"
5,"Arsenal in advanced talks for Riccardo Calafiori deal","Arsenal are now in advanced negotiations with Bologna to finalize the signing of defender Riccardo Calafiori.","twitter.com","Fabrizio Romano","Arsenal","2026-07-26T09:15:00Z","ADVANCED_TALKS"
6,"Real Madrid progressing in advanced discussions for Alphonso Davies","Real Madrid are advancing in positive talks with Bayern Munich and Alphonso Davies' agent for summer move.","theathletic.com","Mario Cortegana","Real Madrid","2026-07-26T11:00:00Z","ADVANCED_TALKS"
7,"Manchester United hold negotiations for Joshua Zirkzee","Manchester United have opened active negotiations with Bologna and the representative of striker Joshua Zirkzee.","theathletic.com","Laurie Whitwell","Manchester United","2026-07-26T13:45:00Z","NEGOTIATIONS"
8,"Chelsea in ongoing contract talks with Victor Osimhen agents","Chelsea executives are holding ongoing negotiations with Napoli to negotiate the structure of Osimhen transfer fee.","skysports.com","Kaveh Solhekol","Chelsea","2026-07-26T16:20:00Z","NEGOTIATIONS"
9,"Arsenal submit official opening bid for Moises Caicedo","Arsenal have submitted an opening formal bid of £60m for Brighton midfielder Moises Caicedo.","theathletic.com","David Ornstein","Arsenal","2026-07-27T08:30:00Z","BID_SUBMITTED"
10,"Manchester United present formal proposal for Leny Yoro","Manchester United have submitted an official £42m offer to Lille for teenage defender Leny Yoro.","twitter.com","Fabrizio Romano","Manchester United","2026-07-27T10:00:00Z","BID_SUBMITTED"
11:"Liverpool make initial approach for Teun Koopmeiners","Liverpool have made an informal approach to Atalanta to explore conditions of a potential move for Koopmeiners.","thetimes.com","Paul Joyce","Liverpool","2026-07-27T12:15:00Z","APPROACH_MADE"
12,"Chelsea make initial contact for Samu Omorodion","Chelsea have made direct contact with Atletico Madrid to express interest and discuss availability.","twitter.com","Fabrizio Romano","Chelsea","2026-07-27T14:40:00Z","APPROACH_MADE"
13,"Barcelona expressing strong interest in Luis Diaz","Barcelona hold genuine interest in Liverpool winger Luis Diaz but financial fair play constraints remain a factor.","twitter.com","Matteo Moretto","Barcelona","2026-07-28T09:10:00Z","INTEREST"
14,"Bayern Munich monitoring Xavi Simons situation","Bayern Munich continue to monitor Xavi Simons as one of several potential targets for the summer window.","twitter.com","Florian Plettenberg","Bayern Munich","2026-07-28T11:30:00Z","INTEREST"
15,"Luis Diaz expected to leave Liverpool if substantial offer arrives","Liverpool winger Luis Diaz is expected to leave the club this summer if a suitable bid is presented by interested clubs.","thetimes.com","Paul Joyce","Liverpool","2026-07-28T15:00:00Z","DEPARTURE_EXPECTED"
16,"Aaron Ramsdale anticipated to depart Arsenal before window closes","Arsenal goalkeeper Aaron Ramsdale is prepared for a departure in search of regular first-team football.","theathletic.com","David Ornstein","Arsenal","2026-07-28T17:25:00Z","DEPARTURE_EXPECTED"
17,"Premier League match report: Arsenal defeat Chelsea 3-0 in derby","Arsenal secured a convincing 3-0 victory against Chelsea at the Emirates Stadium with goals from Saka and Odegaard.","bbc.co.uk","BBC Sport","Arsenal","2026-07-29T20:00:00Z","NOT_TRANSFER_NEWS"
18,"Jurgen Klopp discusses tactical setup ahead of Champions League final","The manager spoke to the press regarding squad fitness and tactical preparations for Saturday night's final.","thetimes.com","Paul Joyce","Liverpool","2026-07-29T21:30:00Z","NOT_TRANSFER_NEWS"
19,"Official: Barcelona confirm shirt sponsorship partnership renewal","Barcelona have officially announced a renewed multi-year commercial sponsorship agreement.","fcbarcelona.com","Official","Barcelona","2026-07-29T22:15:00Z","NOT_TRANSFER_NEWS"
20,"Official: Real Madrid announce new stadium renovation completion","Real Madrid C.F. have completed the major expansion and modernisation project at the Santiago Bernabeu.","realmadrid.com","Official","Real Madrid","2026-07-29T23:00:00Z","NOT_TRANSFER_NEWS"
